Make,Model,Model Year,Electric Range,State
TESLA,MODEL Y,2023,0,NV
TESLA,MODEL 3,2020,266,CA
FORD,FUSION,2019,26,TX
TESLA,MODEL 3,2018,215,NY
TESLA,MODEL Y,2023,0,NC
NISSAN,LEAF,2022,0,OH
CHRYSLER,PACIFICA,2021,32,MD
BMW,330E,2022,22,AZ
VOLVO,S60,2021,22,OR
VOLKSWAGEN,ID.4,2021,0,MD
BENTLEY,BENTAYGA,2021,17,WA
VOLKSWAGEN,ID.4,2021,0,TX
TESLA,MODEL 3,2019,220,IL
JEEP,GRAND CHEROKEE,2022,25,MD
TESLA,MODEL S,2021,0,CA
TESLA,MODEL X,2022,0,FL
NISSAN,LEAF,2016,84,CO
TESLA,MODEL S,2017,210,IN
HYUNDAI,IONIQ,2022,29,CT
TESLA,MODEL 3,2020,322,CA
FORD,C-MAX,2016,19,SC
VOLVO,S60,2022,22,CA
TESLA,MODEL Y,2021,0,NY
TESLA,MODEL X,2016,200,FL
BMW,IX,2023,0,CO
TOYOTA,RAV4 PRIME,2021,42,CT
TESLA,MODEL S,2020,330,CO
TESLA,MODEL Y,2022,0,MA
TESLA,MODEL Y,2023,0,MD
HYUNDAI,KONA ELECTRIC,2022,0,CA
TESLA,MODEL S,2016,210,NV
HYUNDAI,IONIQ,2019,29,NJ
CHRYSLER,PACIFICA,2022,32,CA
POLESTAR,PS2,2021,233,CO
TESLA,MODEL Y,2021,0,SC
TESLA,MODEL 3,2023,0,MD
VOLKSWAGEN,ID.4,2021,0,AZ
TESLA,MODEL 3,2021,0,NV
TESLA,MODEL 3,2022,0,NC
TOYOTA,PRIUS PRIME,2019,25,CA
CHEVROLET,VOLT,2018,53,MA
TESLA,MODEL 3,2023,0,VA
TESLA,MODEL Y,2021,0,KS
FORD,FOCUS,2017,100,CA
CHEVROLET,BOLT EV,2017,238,UT
NISSAN,LEAF,2019,150,AR
TESLA,MODEL S,2016,210,MD
RIVIAN,R1T,2022,0,ID
SUBARU,CROSSTREK,2019,17,TX
KIA,NIRO,2021,0,NE
MITSUBISHI,OUTLANDER,2018,22,CA
KIA,NIRO,2019,26,NC
TESLA,MODEL 3,2020,322,DC
CHEVROLET,BOLT EV,2021,0,CO
TESLA,MODEL 3,2020,322,IL
TOYOTA,RAV4 PRIME,2023,42,NY
TESLA,MODEL 3,2019,220,MN
NISSAN,LEAF,2017,107,TX
TESLA,MODEL 3,2021,0,NJ
HONDA,CLARITY,2018,47,MD
TESLA,MODEL S,2019,270,HI
TESLA,MODEL 3,2021,0,AZ
BMW,330E,2022,22,CO
TESLA,MODEL S,2015,208,AZ
TESLA,MODEL 3,2018,215,HI
VOLVO,S60,2022,41,AZ
TESLA,MODEL 3,2022,0,MA
TOYOTA,PRIUS PLUG-IN,2015,6,OR
FORD,MUSTANG MACH-E,2022,0,CA
TESLA,MODEL X,2016,200,NJ
TESLA,MODEL Y,2022,0,TX
FORD,MUSTANG MACH-E,2021,0,TX
TOYOTA,PRIUS PRIME,2017,25,TX
VOLVO,V60,2021,22,CA
TESLA,MODEL Y,2022,0,DC
BMW,X5,2023,30,VA
TESLA,MODEL 3,2018,215,VA
JEEP,WRANGLER,2021,25,HI
VOLVO,XC90,2022,18,MD
